graph_id,model_name,candidate_id,host_face_id,local_wire_index,hostFaceArea,hostFaceRelativeArea,hostFacePerimeter,hostInnerWireCount,hostNeighborFaceCount,wireLength,wireLengthRatio,estimatedHoleRadius,estimatedHoleArea,wireCenterX,wireCenterY,wireCenterZ,adjacentFaceCount,adjacentCylinderCount,adjacentSmallCylinderCount,minAdjacentCylinderRadius,maxAdjacentCylinderRadius,concaveEdgeRatio,label
0,"82.step",39,139,1,60492.1,0.043639,1329.49,20,24,20.7471,0.0156053,3.302,34.2534,-165.304,-87.3019,-66.6628,24,20,12,1.1303,3.302,0,1
0,"82.step",40,139,2,60492.1,0.043639,1329.49,20,24,20.7471,0.0156053,3.302,34.2534,-165.304,39.6981,-66.6628,24,20,12,1.1303,3.302,0,1
0,"82.step",41,139,3,60492.1,0.043639,1329.49,20,24,20.7471,0.0156053,3.302,34.2534,-314.529,39.6981,-325.128,24,20,12,1.1303,3.302,0,1
0,"82.step",42,139,4,60492.1,0.043639,1329.49,20,24,16.9966,0.0127843,2.7051,22.9888,-325.26,-35.1049,-343.716,24,20,12,1.1303,3.302,0,1
0,"82.step",43,139,5,60492.1,0.043639,1329.49,20,24,16.9966,0.0127843,2.7051,22.9888,-325.26,-61.7749,-343.716,24,20,12,1.1303,3.302,0,1
0,"82.step",44,139,6,60492.1,0.043639,1329.49,20,24,16.9966,0.0127843,2.7051,22.9888,-296.939,-61.7749,-294.662,24,20,12,1.1303,3.302,0,1
0,"82.step",45,139,7,60492.1,0.043639,1329.49,20,24,16.9966,0.0127843,2.7051,22.9888,-296.939,-35.1049,-294.662,24,20,12,1.1303,3.302,0,1
0,"82.step",46,139,8,60492.1,0.043639,1329.49,20,24,10.8523,0.00816277,1.7272,9.37206,-225.114,-55.5519,-170.258,24,20,12,1.1303,3.302,0,1
0,"82.step",47,139,9,60492.1,0.043639,1329.49,20,24,10.8523,0.00816277,1.7272,9.37206,-225.114,7.94807,-170.258,24,20,12,1.1303,3.302,0,1
0,"82.step",48,139,10,60492.1,0.043639,1329.49,20,24,10.8523,0.00816277,1.7272,9.37206,-274.403,-55.5519,-255.628,24,20,12,1.1303,3.302,0,1
0,"82.step",49,139,11,60492.1,0.043639,1329.49,20,24,10.8523,0.00816277,1.7272,9.37206,-274.403,7.94807,-255.628,24,20,12,1.1303,3.302,0,1
0,"82.step",50,139,12,60492.1,0.043639,1329.49,20,24,9.97456,0.00750254,1.5875,7.9173,-169.778,-21.2429,-74.4134,24,20,12,1.1303,3.302,0,1
0,"82.step",51,139,13,60492.1,0.043639,1329.49,20,24,9.97456,0.00750254,1.5875,7.9173,-207.878,47.3371,-140.405,24,20,12,1.1303,3.302,0,1
0,"82.step",52,139,14,60492.1,0.043639,1329.49,20,24,9.97456,0.00750254,1.5875,7.9173,-207.878,-21.2429,-140.405,24,20,12,1.1303,3.302,0,1
0,"82.step",53,139,15,60492.1,0.043639,1329.49,20,24,9.97456,0.00750254,1.5875,7.9173,-169.778,47.3371,-74.4134,24,20,12,1.1303,3.302,0,1
0,"82.step",54,139,16,60492.1,0.043639,1329.49,20,24,7.10188,0.00534181,1.1303,4.01363,-171.971,-34.5969,-78.2112,24,20,12,1.1303,3.302,0,1
0,"82.step",55,139,17,60492.1,0.043639,1329.49,20,24,7.10188,0.00534181,1.1303,4.01363,-203.086,-34.5969,-132.104,24,20,12,1.1303,3.302,0,1
0,"82.step",56,139,18,60492.1,0.043639,1329.49,20,24,7.10188,0.00534181,1.1303,4.01363,-203.086,-96.8269,-132.104,24,20,12,1.1303,3.302,0,1
0,"82.step",57,139,19,60492.1,0.043639,1329.49,20,24,7.10188,0.00534181,1.1303,4.01363,-171.971,-96.8269,-78.2112,24,20,12,1.1303,3.302,0,1
0,"82.step",58,155,0,490.493,0.000353841,193.107,1,2,80.5944,0.417355,12.827,516.892,5.53943e-16,-89.0255,177.8,2,2,0,12.827,17.907,0,0
0,"82.step",59,157,0,490.493,0.000353841,193.107,1,2,80.5944,0.417355,12.827,516.892,5.53943e-16,-93.5975,177.8,2,2,0,12.827,17.907,0,0
0,"82.step",60,160,0,285.023,0.000205615,179.542,1,2,79.7965,0.444444,12.7,506.707,5.59482e-16,-94.169,177.8,2,2,0,12.7,15.875,0,0
0,"82.step",61,162,0,348.361,0.000251308,219.44,1,2,99.7456,0.454545,15.875,791.73,-2.23793e-16,-100.011,177.8,2,2,0,15.875,19.05,0.5,0
0,"82.step",62,164,0,633.384,0.000456923,199.491,1,2,79.7965,0.4,12.7,506.707,5.59482e-16,-103.186,177.8,2,2,0,12.7,19.05,0,0
0,"82.step",63,166,0,437.569,0.000315662,137.33,4,5,19.9491,0.145264,3.175,31.6692,1.39871e-16,-88.8985,177.8,5,5,3,1.9939,12.7,0.2,1
